split,demo,steps,agent_x_min,agent_x_max,agent_y_min,agent_y_max,agent_z_min,agent_z_max,action_x_min,action_x_max,action_y_min,action_y_max,action_z_min,action_z_max,action_gripper_max,first_close_step,first_open_after_close_step,agent_vel_abs_max,action_vel_abs_max
train,demo_000,90,-0.03720776364207268,0.2638445794582367,0.462174654006958,0.6046030521392822,0.38230085372924805,0.49561288952827454,-0.036622997373342514,0.2651984989643097,0.4621756672859192,0.6061185002326965,0.38616764545440674,0.4997219145298004,1.0,16,67,2.563377618789673,10.0
train,demo_001,82,-0.033611781895160675,0.25501126050949097,0.45742183923721313,0.5910120010375977,0.3819637596607208,0.48699137568473816,-0.03516814485192299,0.257991224527359,0.4639788866043091,0.5916096568107605,0.38394081592559814,0.4915424883365631,1.0,17,64,2.614248275756836,10.0
train,demo_002,82,-0.03114444576203823,0.26660168170928955,0.45613065361976624,0.6121898889541626,0.3818126618862152,0.482795774936676,-0.03218666836619377,0.2693682909011841,0.4620968699455261,0.6133182644844055,0.38495633006095886,0.4861173927783966,1.0,19,59,2.588165283203125,10.0
train,demo_003,91,-0.044632688164711,0.27069908380508423,0.45703285932540894,0.606956958770752,0.3744356334209442,0.48823270201683044,-0.043961796909570694,0.27286937832832336,0.46463432908058167,0.6079713106155396,0.375818133354187,0.49226289987564087,1.0,20,67,2.5641791820526123,10.0
train,demo_004,103,-0.03853952884674072,0.26853781938552856,0.4593932032585144,0.5969802737236023,0.3752763867378235,0.4849774241447449,-0.03842751309275627,0.26999467611312866,0.4675558805465698,0.5983441472053528,0.37895190715789795,0.4880337417125702,1.0,21,77,2.566460609436035,10.0
train,demo_005,83,-0.03739491477608681,0.26909250020980835,0.45720791816711426,0.6018146276473999,0.37020042538642883,0.48351702094078064,-0.038200121372938156,0.27263501286506653,0.4633166193962097,0.6035020351409912,0.3741729259490967,0.4814690351486206,1.0,17,60,2.587980270385742,10.0
train,demo_006,87,-0.030651718378067017,0.26996320486068726,0.4535515606403351,0.6141747236251831,0.3697989881038666,0.4970163106918335,-0.032759252935647964,0.2723805010318756,0.4535515606403351,0.6169300079345703,0.3746158182621002,0.4979059100151062,1.0,19,62,2.588658571243286,10.0
train,demo_007,92,-0.035447683185338974,0.2733306884765625,0.46029216051101685,0.5985268950462341,0.3758922815322876,0.4848330318927765,-0.037195488810539246,0.27697083353996277,0.46029216051101685,0.602324366569519,0.3764551877975464,0.4848330318927765,1.0,24,66,2.564302682876587,10.0
train,demo_008,106,-0.03337863087654114,0.2662152647972107,0.4570470452308655,0.6252130270004272,0.38023924827575684,0.5634223818778992,-0.033525414764881134,0.2680700123310089,0.46013161540031433,0.6244489550590515,0.3816204369068146,0.5682840943336487,1.0,27,85,2.5897066593170166,10.0
train,demo_009,101,-0.018214503303170204,0.26029491424560547,0.4495212733745575,0.6016066074371338,0.3734240233898163,0.503087043762207,-0.0192131195217371,0.2632814347743988,0.45381635427474976,0.6022183895111084,0.37632831931114197,0.5081701874732971,1.0,23,74,2.5910634994506836,10.0
train,demo_010,111,-0.03474065288901329,0.2753635346889496,0.45761510729789734,0.6106988787651062,0.3792533278465271,0.5204218626022339,-0.035780541598796844,0.2760368287563324,0.45947012305259705,0.6127904057502747,0.382290244102478,0.5256345868110657,1.0,31,89,2.5892136096954346,10.0
train,demo_011,97,-0.018354814499616623,0.2556743621826172,0.45705947279930115,0.6201775074005127,0.3732943534851074,0.49639567732810974,-0.020162289962172508,0.259055495262146,0.45705947279930115,0.6232584714889526,0.37835821509361267,0.4996747076511383,1.0,24,72,3.0990283489227295,10.0
train,demo_012,119,-0.035773176699876785,0.26337215304374695,0.4581620395183563,0.6143113970756531,0.381734162569046,0.5259623527526855,-0.035753458738327026,0.26694241166114807,0.46249035000801086,0.6162569522857666,0.3843250274658203,0.5323820114135742,1.0,29,94,2.613076686859131,10.0
train,demo_013,102,-0.027966586872935295,0.2647039294242859,0.45858457684516907,0.6083261370658875,0.3807910978794098,0.4935542643070221,-0.02746010571718216,0.26849332451820374,0.4651762545108795,0.6078365445137024,0.3825559616088867,0.4983035624027252,1.0,22,79,2.589460611343384,10.0
train,demo_014,96,-0.040667179971933365,0.27176642417907715,0.45687761902809143,0.6156794428825378,0.370669424533844,0.4955000877380371,-0.0410008542239666,0.27293169498443604,0.45754164457321167,0.6155948042869568,0.3736623525619507,0.49954256415367126,1.0,23,73,3.8951969146728516,10.0
