i,target_x,target_y,target_z,teleop_x,teleop_y,teleop_z,translation_step_limited,workspace_clamped
0.000000000000000000e+00,4.263255279511213303e-03,4.621756672859191895e-01,4.626556932926177979e-01,4.263255279511213303e-03,4.621756672859191895e-01,4.626556932926177979e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.867564851156911843e-03,4.653326731016156348e-01,4.642484877866475124e-01,2.867564851156911843e-03,4.653326731016156348e-01,4.642484877866475124e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.864813097257279395e-03,4.691205110952538782e-01,4.651075226242182836e-01,2.864813097257279395e-03,4.691205110952538782e-01,4.651075226242182836e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,3.249542580489706012e-03,4.729345997087424092e-01,4.647629851766916786e-01,3.249542580489706012e-03,4.729345997087424092e-01,4.647629851766916786e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,2.573304831573919316e-03,4.794365979253625287e-01,4.648040059444307204e-01,2.573304831573919316e-03,4.794365979253625287e-01,4.648040059444307204e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,9.628484710487716924e-04,4.876309754122669649e-01,4.661707970360899900e-01,9.628484710487716924e-04,4.876309754122669649e-01,4.661707970360899900e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,-1.991607056724742364e-03,4.956302551197468986e-01,4.655850040465678852e-01,-1.991607056724742364e-03,4.956302551197468986e-01,4.655850040465678852e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,-5.577046588087775092e-03,5.025546736793971014e-01,4.654263393076290001e-01,-5.577046588087775092e-03,5.025546736793971014e-01,4.654263393076290001e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,-1.433079229045597369e-02,5.190127071040882001e-01,4.644236897134828013e-01,-1.433079229045597369e-02,5.190127071040882001e-01,4.644236897134828013e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,-1.837732602311381580e-02,5.304289321577886351e-01,4.637183944644593936e-01,-1.837732602311381580e-02,5.304289321577886351e-01,4.637183944644593936e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-2.114070801487111240e-02,5.467070218052638708e-01,4.627172497792959582e-01,-2.114070801487111240e-02,5.467070218052638708e-01,4.627172497792959582e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,-2.193694142068114417e-02,5.560256987317222510e-01,4.615606582366282851e-01,-2.193694142068114417e-02,5.560256987317222510e-01,4.615606582366282851e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,-2.355229064566355390e-02,5.668282174324856815e-01,4.590581550079657625e-01,-2.355229064566355390e-02,5.668282174324856815e-01,4.590581550079657625e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,-2.377425700177338008e-02,5.745029053561525600e-01,4.571911913267259209e-01,-2.377425700177338008e-02,5.745029053561525600e-01,4.571911913267259209e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,-2.394532898170831370e-02,5.840637559278833990e-01,4.541572077843585298e-01,-2.394532898170831370e-02,5.840637559278833990e-01,4.541572077843585298e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,-2.292672564953313064e-02,5.904986532452589643e-01,4.505098103155891209e-01,-2.292672564953313064e-02,5.904986532452589643e-01,4.505098103155891209e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,-2.251906384382162951e-02,5.953667593128431079e-01,4.434911664393466069e-01,-2.251906384382162951e-02,5.953667593128431079e-01,4.434911664393466069e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,-2.309768660877598023e-02,5.983946428537272322e-01,4.366549144914033675e-01,-2.309768660877598023e-02,5.983946428537272322e-01,4.366549144914033675e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,-2.392151046320778462e-02,6.012082393340973940e-01,4.309159247033127471e-01,-2.392151046320778462e-02,6.012082393340973940e-01,4.309159247033127471e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,-2.607981088490385346e-02,6.037437886924055253e-01,4.236057283866729861e-01,-2.607981088490385346e-02,6.037437886924055253e-01,4.236057283866729861e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,-2.759873216740282853e-02,6.050084567043128025e-01,4.187053800997304620e-01,-2.759873216740282853e-02,6.050084567043128025e-01,4.187053800997304620e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,-3.066882269967952102e-02,6.057599930132560040e-01,4.114255551457008941e-01,-3.066882269967952102e-02,6.057599930132560040e-01,4.114255551457008941e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,-3.308497460151182956e-02,6.060407285530158283e-01,4.053197288938870102e-01,-3.308497460151182956e-02,6.060407285530158283e-01,4.053197288938870102e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,-3.570529407042832837e-02,6.061184705233133574e-01,3.979746781053350446e-01,-3.570529407042832837e-02,6.061184705233133574e-01,3.979746781053350446e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,-3.662299914921773869e-02,6.051392133566619869e-01,3.918066533621118452e-01,-3.662299914921773869e-02,6.051392133566619869e-01,3.918066533621118452e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,-3.596422805739762918e-02,6.034859520232072061e-01,3.870134996218403955e-01,-3.596422805739762918e-02,6.034859520232072061e-01,3.870134996218403955e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,-3.444128840908300404e-02,6.018996002387750899e-01,3.862679435002553952e-01,-3.444128840908300404e-02,6.018996002387750899e-01,3.862679435002553952e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,-3.335777118932536922e-02,6.004011450273951667e-01,3.862112550614669182e-01,-3.335777118932536922e-02,6.004011450273951667e-01,3.862112550614669182e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,-3.243079965966400025e-02,5.986981290818595980e-01,3.861676500581974203e-01,-3.243079965966400025e-02,5.986981290818595980e-01,3.861676500581974203e-01,0.000000000000000000e+00,0.000000000000000000e+00
