i,target_x,target_y,target_z,teleop_x,teleop_y,teleop_z,translation_step_limited,workspace_clamped
0.000000000000000000e+00,4.259470850229263306e-03,4.621746540069580078e-01,4.626570045948028564e-01,4.263255279511213303e-03,4.621756672859191895e-01,4.626556932926177979e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.265403375029563904e-03,4.622068703174591064e-01,4.625465273857116699e-01,2.867564851156911843e-03,4.653326731016156348e-01,4.642484877866475124e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.136664792895317078e-03,4.624231457710266113e-01,4.618033170700073242e-01,2.864813097257279395e-03,4.691205110952538782e-01,4.651075226242182836e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,3.249542580489706012e-03,4.729345997087424092e-01,4.647629851766916786e-01,3.249542580489706012e-03,4.729345997087424092e-01,4.647629851766916786e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,2.806189494686909223e-03,4.767388767138292516e-01,4.641775382089292079e-01,2.573304831573919316e-03,4.794365979253625287e-01,4.648040059444307204e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.167396981938418416e-03,4.795308857514045675e-01,4.643729822134761154e-01,9.628484710487716924e-04,4.876309754122669649e-01,4.661707970360899900e-01,1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,3.319339562595107797e-04,4.866579200267523442e-01,4.644036003349135688e-01,-1.991607056724742364e-03,4.956302551197468986e-01,4.655850040465678852e-01,1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,-2.410338609317889264e-03,4.939093797351478132e-01,4.646717338899784000e-01,-5.577046588087775092e-03,5.025546736793971014e-01,4.654263393076290001e-01,1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,-6.114603713427527697e-03,5.008378372989142902e-01,4.637340333603688913e-01,-1.433079229045597369e-02,5.190127071040882001e-01,4.644236897134828013e-01,1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,-1.050886733336948986e-02,5.098271364382233051e-01,4.630611869165978667e-01,-1.837732602311381580e-02,5.304289321577886351e-01,4.637183944644593936e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,-1.694152409171561027e-02,5.229096865961463392e-01,4.623752734076755910e-01,-2.114070801487111240e-02,5.467070218052638708e-01,4.627172497792959582e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,-2.082158216694617384e-02,5.362871702588383194e-01,4.612291812234977084e-01,-2.193694142068114417e-02,5.560256987317222510e-01,4.615606582366282851e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,-2.222401344149211797e-02,5.515174493941480405e-01,4.592387044495090942e-01,-2.355229064566355390e-02,5.668282174324856815e-01,4.590581550079657625e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,-2.237272746903886875e-02,5.622388665606533609e-01,4.572562362076532660e-01,-2.377425700177338008e-02,5.745029053561525600e-01,4.571911913267259209e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,-2.272109582745636056e-02,5.716963878278936706e-01,4.543635761441211507e-01,-2.394532898170831370e-02,5.840637559278833990e-01,4.541572077843585298e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,-2.274053028950882849e-02,5.826787041182156512e-01,4.508640470371200748e-01,-2.292672564953313064e-02,5.904986532452589643e-01,4.505098103155891209e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,-2.258109382592999800e-02,5.890504086062281486e-01,4.455077392533148828e-01,-2.251906384382162951e-02,5.953667593128431079e-01,4.434911664393466069e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,-2.267661826788663210e-02,5.952082697319026616e-01,4.385056013690316612e-01,-2.309768660877598023e-02,5.983946428537272322e-01,4.366549144914033675e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,-2.333999851008191490e-02,5.990442454926256932e-01,4.321867351858750816e-01,-2.392151046320778462e-02,6.012082393340973940e-01,4.309159247033127471e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,-2.522213774046005649e-02,6.017484969243217519e-01,4.248739765503488641e-01,-2.607981088490385346e-02,6.037437886924055253e-01,4.236057283866729861e-01,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,-2.759873216740282853e-02,6.050084567043128025e-01,4.187053800997304620e-01,-2.759873216740282853e-02,6.050084567043128025e-01,4.187053800997304620e-01,0.000000000000000000e+00,0.000000000000000000e+00
